sample	segment_count	included
AA_1	44	yes
AA_2	62	yes
AA_4	121	yes
AA_5	63	yes
AA_6	38	yes
AA_7	51	yes
AA_8	95	yes
AA_9	92	yes
AMG_1	89	yes
AMG_2	38	yes
AO_1	55	yes
AO_2	87	yes
AO_3	27	yes
AO_4	33	yes
AO_5	45	yes
AO_6	30	yes
AO_7	64	yes
LGMO_1	50	yes
primary_GBM_10	60	yes
primary_GBM_101	45	yes
primary_GBM_103	48	yes
primary_GBM_104	50	yes
primary_GBM_106	109	yes
primary_GBM_107	45	yes
primary_GBM_11	103	yes
primary_GBM_12	82	yes
primary_GBM_14	47	yes
primary_GBM_15	79	yes
primary_GBM_17	47	yes
primary_GBM_2	45	yes
primary_GBM_22	66	yes
primary_GBM_23	79	yes
primary_GBM_24	51	yes
primary_GBM_25	60	yes
primary_GBM_26	52	yes
primary_GBM_28	48	yes
primary_GBM_29	49	yes
primary_GBM_32	70	yes
primary_GBM_33	99	yes
primary_GBM_35	58	yes
primary_GBM_36	39	yes
primary_GBM_37	32	yes
primary_GBM_38	96	yes
primary_GBM_39	117	yes
primary_GBM_4	33	yes
primary_GBM_40	44	yes
primary_GBM_42	59	yes
primary_GBM_43	74	yes
primary_GBM_44	37	yes
primary_GBM_47	66	yes
primary_GBM_48	85	yes
primary_GBM_49	63	yes
primary_GBM_50	90	yes
primary_GBM_51	41	yes
primary_GBM_53	54	yes
primary_GBM_54	83	yes
primary_GBM_55	72	yes
primary_GBM_56	43	yes
primary_GBM_59	42	yes
primary_GBM_6	60	yes
primary_GBM_60	98	yes
primary_GBM_62	45	yes
primary_GBM_63	40	yes
primary_GBM_64	69	yes
primary_GBM_66	41	yes
primary_GBM_67	35	yes
primary_GBM_68	54	yes
primary_GBM_7	37	yes
primary_GBM_70	47	yes
primary_GBM_71	86	yes
primary_GBM_72	31	yes
primary_GBM_73	51	yes
primary_GBM_74	42	yes
primary_GBM_75	65	yes
primary_GBM_79	62	yes
primary_GBM_8	75	yes
primary_GBM_80	80	yes
primary_GBM_81	83	yes
primary_GBM_82	56	yes
primary_GBM_83	73	yes
primary_GBM_84	61	yes
primary_GBM_85	55	yes
primary_GBM_86	50	yes
primary_GBM_87	73	yes
primary_GBM_88	91	yes
primary_GBM_89	44	yes
primary_GBM_9	56	yes
primary_GBM_90	83	yes
primary_GBM_91	104	yes
primary_GBM_92	82	yes
primary_GBM_95	97	yes
primary_GBM_98	66	yes
primary_GBM_99	51	yes
secondary_GBM_1	40	yes
secondary_GBM_10	119	yes
secondary_GBM_12	92	yes
secondary_GBM_13	70	yes
secondary_GBM_14	48	yes
secondary_GBM_2	104	yes
secondary_GBM_3	51	yes
secondary_GBM_4	104	yes
secondary_GBM_5	44	yes
secondary_GBM_6	45	yes
secondary_GBM_8	70	yes
secondary_GBM_9	92	yes
