# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
AA_1	-0.540000	0.409000
AA_2	-0.681000	0.482000
AA_4	-0.470000	0.544000
AA_5	-0.665000	0.594000
AA_6	-0.510000	0.447000
AA_7	-0.606000	0.579000
AA_8	-0.100000	0.709000
AA_9	-1.393000	0.394000
AMG_1	-0.640000	0.221000
AMG_2	-0.690000	0.265000
AO_1	-0.864000	0.821000
AO_2	-0.997000	0.867000
AO_3	-0.472000	0.100000
AO_4	-0.810000	0.100000
AO_5	-0.819000	0.359000
AO_6	-0.738000	0.100000
AO_7	-0.593000	0.675000
LGMO_1	-0.554000	0.744000
primary_GBM_10	-0.583000	0.547000
primary_GBM_101	-0.880000	0.720000
primary_GBM_103	-0.622000	0.543000
primary_GBM_104	-0.296000	0.713000
primary_GBM_106	-0.661000	1.115000
primary_GBM_107	-0.407000	0.556000
primary_GBM_11	-0.931000	0.794000
primary_GBM_12	-0.239000	0.493000
primary_GBM_14	-0.789000	1.288000
primary_GBM_15	-0.741000	0.809000
primary_GBM_17	-0.235000	0.535000
primary_GBM_2	-0.657000	0.667000
primary_GBM_22	-0.775000	0.733000
primary_GBM_23	-0.818000	0.698000
primary_GBM_24	-0.832000	0.512000
primary_GBM_25	-0.769000	0.484000
primary_GBM_26	-0.866000	1.316000
primary_GBM_28	-0.529000	0.520000
primary_GBM_29	-0.435000	0.415000
primary_GBM_32	-0.723000	1.047000
primary_GBM_33	-0.540000	0.446000
primary_GBM_35	-0.540000	1.295000
primary_GBM_36	-0.683000	0.517000
primary_GBM_37	-0.100000	0.573000
primary_GBM_38	-0.785000	1.007000
primary_GBM_39	-0.485000	0.980000
primary_GBM_4	-0.291000	0.407000
primary_GBM_40	-0.622000	0.700000
primary_GBM_42	-0.635000	0.601000
primary_GBM_43	-0.733000	1.700000
primary_GBM_44	-0.581000	1.017000
primary_GBM_47	-0.776000	1.266000
primary_GBM_48	-0.773000	1.060000
primary_GBM_49	-0.434000	0.520000
primary_GBM_50	-0.730000	0.607000
primary_GBM_51	-0.366000	0.969000
primary_GBM_53	-0.701000	0.658000
primary_GBM_54	-0.414000	0.525000
primary_GBM_55	-0.734000	0.430000
primary_GBM_56	-0.720000	0.100000
primary_GBM_59	-0.663000	0.598000
primary_GBM_6	-0.678000	0.550000
primary_GBM_60	-0.859000	0.991000
primary_GBM_62	-0.784000	0.739000
primary_GBM_63	-0.554000	0.867000
primary_GBM_64	-0.418000	0.586000
primary_GBM_66	-0.576000	0.565000
primary_GBM_67	-0.778000	0.649000
primary_GBM_68	-0.517000	0.388000
primary_GBM_7	-0.451000	0.361000
primary_GBM_70	-0.664000	0.564000
primary_GBM_71	-0.469000	0.459000
primary_GBM_72	-0.450000	0.414000
primary_GBM_73	-0.532000	0.370000
primary_GBM_74	-0.634000	0.100000
primary_GBM_75	-0.887000	0.800000
primary_GBM_79	-0.246000	0.507000
primary_GBM_8	-0.779000	0.706000
primary_GBM_80	-0.924000	0.607000
primary_GBM_81	-0.646000	0.710000
primary_GBM_82	-0.358000	0.405000
primary_GBM_83	-0.672000	0.672000
primary_GBM_84	-0.938000	0.792000
primary_GBM_85	-0.535000	0.890000
primary_GBM_86	-0.626000	0.595000
primary_GBM_87	-0.896000	0.809000
primary_GBM_88	-0.720000	0.605000
primary_GBM_89	-0.666000	0.100000
primary_GBM_9	-0.580000	0.494000
primary_GBM_90	-0.748000	0.583000
primary_GBM_91	-0.670000	0.862000
primary_GBM_92	-0.882000	0.100000
primary_GBM_95	-0.829000	0.735000
primary_GBM_98	-0.691000	0.553000
primary_GBM_99	-0.601000	0.520000
secondary_GBM_1	-0.539000	0.100000
secondary_GBM_10	-1.080000	0.365000
secondary_GBM_12	-0.714000	0.867000
secondary_GBM_13	-0.701000	0.547000
secondary_GBM_14	-0.780000	0.705000
secondary_GBM_2	-1.393000	0.600000
secondary_GBM_3	-0.576000	0.364000
secondary_GBM_4	-0.903000	0.100000
secondary_GBM_5	-0.690000	0.492000
secondary_GBM_6	-0.892000	0.100000
secondary_GBM_8	-0.543000	3.757000
secondary_GBM_9	-0.571000	0.689000
