sample	segment_count	included
AA_1	41	yes
AA_2	62	yes
AA_4	115	yes
AA_5	62	yes
AA_6	37	yes
AA_7	50	yes
AA_8	84	yes
AA_9	92	yes
AMG_1	82	yes
AMG_2	38	yes
AO_1	55	yes
AO_2	85	yes
AO_3	26	yes
AO_4	33	yes
AO_5	44	yes
AO_6	30	yes
AO_7	63	yes
LGMO_1	49	yes
primary_GBM_10	55	yes
primary_GBM_101	44	yes
primary_GBM_103	46	yes
primary_GBM_104	50	yes
primary_GBM_106	109	yes
primary_GBM_107	44	yes
primary_GBM_11	96	yes
primary_GBM_12	78	yes
primary_GBM_14	46	yes
primary_GBM_15	75	yes
primary_GBM_17	47	yes
primary_GBM_2	45	yes
primary_GBM_22	66	yes
primary_GBM_23	74	yes
primary_GBM_24	51	yes
primary_GBM_25	57	yes
primary_GBM_26	49	yes
primary_GBM_28	47	yes
primary_GBM_29	48	yes
primary_GBM_32	68	yes
primary_GBM_33	90	yes
primary_GBM_35	57	yes
primary_GBM_36	39	yes
primary_GBM_37	32	yes
primary_GBM_38	92	yes
primary_GBM_39	114	yes
primary_GBM_4	33	yes
primary_GBM_40	44	yes
primary_GBM_42	56	yes
primary_GBM_43	74	yes
primary_GBM_44	37	yes
primary_GBM_47	64	yes
primary_GBM_48	77	yes
primary_GBM_49	62	yes
primary_GBM_50	86	yes
primary_GBM_51	41	yes
primary_GBM_53	53	yes
primary_GBM_54	83	yes
primary_GBM_55	71	yes
primary_GBM_56	43	yes
primary_GBM_59	41	yes
primary_GBM_6	58	yes
primary_GBM_60	95	yes
primary_GBM_62	45	yes
primary_GBM_63	40	yes
primary_GBM_64	68	yes
primary_GBM_66	41	yes
primary_GBM_67	35	yes
primary_GBM_68	54	yes
primary_GBM_7	36	yes
primary_GBM_70	47	yes
primary_GBM_71	83	yes
primary_GBM_72	30	yes
primary_GBM_73	51	yes
primary_GBM_74	41	yes
primary_GBM_75	64	yes
primary_GBM_79	61	yes
primary_GBM_8	73	yes
primary_GBM_80	76	yes
primary_GBM_81	80	yes
primary_GBM_82	54	yes
primary_GBM_83	71	yes
primary_GBM_84	60	yes
primary_GBM_85	54	yes
primary_GBM_86	49	yes
primary_GBM_87	73	yes
primary_GBM_88	86	yes
primary_GBM_89	44	yes
primary_GBM_9	56	yes
primary_GBM_90	83	yes
primary_GBM_91	103	yes
primary_GBM_92	79	yes
primary_GBM_95	94	yes
primary_GBM_98	64	yes
primary_GBM_99	51	yes
secondary_GBM_1	40	yes
secondary_GBM_10	116	yes
secondary_GBM_12	87	yes
secondary_GBM_13	70	yes
secondary_GBM_14	46	yes
secondary_GBM_2	101	yes
secondary_GBM_3	51	yes
secondary_GBM_4	103	yes
secondary_GBM_5	43	yes
secondary_GBM_6	45	yes
secondary_GBM_8	67	yes
secondary_GBM_9	91	yes
