Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	1328	0.09	0.10	0.245	0.995	0.15	0.17	2.46	0.0226
1q	1212	0.11	0.12	0.76	0.995	0.04	0.04	-1.75	0.987
2p	582	0.07	0.07	-1.37	0.995	0.04	0.04	-2.24	0.987
2q	971	0.04	0.04	-2.04	0.995	0.06	0.06	-1.43	0.987
3p	633	0.08	0.08	-0.957	0.995	0.06	0.06	-1.54	0.987
3q	683	0.10	0.11	0.115	0.995	0.08	0.09	-0.765	0.987
4p	262	0.03	0.03	-2.61	0.995	0.11	0.12	-0.083	0.987
4q	618	0.05	0.05	-1.71	0.995	0.13	0.14	0.909	0.443
5p	156	0.06	0.06	-1.83	0.995	0.08	0.08	-1.28	0.987
5q	961	0.03	0.03	-2.37	0.995	0.06	0.06	-1.46	0.987
6p	760	0.05	0.05	-1.68	0.995	0.11	0.12	0.393	0.755
6q	505	0.02	0.02	-2.56	0.995	0.22	0.22	3.48	0.00109
7p	375	0.66	0.66	17.3	0	0.01	0.03	-1.67	0.987
7q	775	0.72	0.72	20.4	0	0.00	0.00	-1.87	0.987
8p	346	0.05	0.05	-1.98	0.995	0.10	0.10	-0.564	0.987
8q	500	0.11	0.12	0.215	0.995	0.06	0.06	-1.51	0.987
9p	265	0.03	0.05	-1.57	0.995	0.46	0.47	10.9	0
9q	646	0.10	0.11	0.122	0.995	0.09	0.10	-0.462	0.987
10p	238	0.10	0.24	2.42	0.0499	0.61	0.67	16.5	0
10q	782	0.01	0.03	-1.35	0.995	0.70	0.71	19.9	0
11p	558	0.03	0.03	-2.36	0.995	0.15	0.16	1.4	0.209
11q	983	0.03	0.03	-2.16	0.995	0.14	0.15	1.49	0.188
12p	354	0.10	0.11	-0.213	0.995	0.06	0.06	-1.63	0.987
12q	887	0.05	0.05	-1.78	0.995	0.05	0.05	-1.78	0.987
13q	377	0.04	0.06	-1.37	0.995	0.39	0.41	9.01	0
14q	778	0.04	0.06	-1.39	0.995	0.32	0.34	7.44	3.21e-13
15q	756	0.05	0.05	-1.68	0.995	0.11	0.12	0.389	0.755
16p	571	0.04	0.05	-1.94	0.995	0.18	0.19	2.4	0.0244
16q	444	0.04	0.05	-1.95	0.995	0.20	0.21	2.9	0.00672
17p	388	0.07	0.08	-0.964	0.995	0.20	0.21	2.99	0.00545
17q	1026	0.10	0.10	0.0981	0.995	0.09	0.09	-0.207	0.987
18p	86	0.07	0.07	-1.54	0.995	0.09	0.09	-0.986	0.987
18q	253	0.10	0.10	-0.597	0.995	0.06	0.06	-1.72	0.987
19p	676	0.23	0.29	5.22	8.73e-07	0.21	0.27	4.65	8.03e-06
19q	918	0.23	0.31	5.98	1.47e-08	0.27	0.35	7.13	2.72e-12
20p	242	0.18	0.20	2.37	0.0499	0.10	0.12	-0.129	0.987
20q	525	0.21	0.22	3.45	0.00215	0.07	0.08	-0.843	0.987
21q	334	0.12	0.13	0.433	0.995	0.07	0.08	-1.26	0.987
22q	585	0.04	0.06	-1.33	0.995	0.37	0.39	8.72	0
