cytoband	7p11.2	4q12	1q32.1	12q15	7q31.2	12q14.1	12p13.32	2p24.3	
q value	9.6276e-51	3.2912e-19	4.6247e-06	0.00011324	0.0012832	0.0053517	0.088842	0.090327	
residual q value	9.6276e-51	3.2912e-19	4.6247e-06	0.00021607	0.0012832	0.0092246	0.088842	0.090327	
wide peak boundaries	chr7:54635167-54960651	chr4:54361523-55217249	chr1:201015643-201914639	chr12:67295984-67955712	chr7:115813600-116971978	chr12:57214649-57283458	chr12:1-5549725	chr2:15829031-16797540	
genes in wide peak	EGFR	PDGFRA	KISS1	CPM	CAPZA2	[LRIG3]	CACNA1C	MYCN	
		CHIC2	MDM4	MDM2	CFTR		CCND2	FAM49A	
		GSH2	PIK3C2B	RAP1B	MET		FGF6		
		LOC402176	REN	CPSF6	WNT2		FKBP4		
			SNRPE	SLC35E3	ST7		FOXM1		
			SOX13	NUP107	CTTNBP2		KCNA1		
			LRRN5		ASZ1		KCNA5		
			PLEKHA6				KCNA6		
			ETNK2				NDUFA9		
			PPP1R15B				NINJ2		
			GOLT1A				NTF3		
			C1orf157				RAD52		
							JARID1A		
							SLC6A12		
							SLC6A13		
							TEAD4		
							TULP3		
							FGF23		
							DYRK4		
							AKAP3		
							RAD51AP1		
							TSPAN9		
							ERC1		
							GALNT8		
							ITFG2		
							PRMT8		
							PARP11		
							TMEM16B		
							C12orf4		
							C12orf5		
							WNK1		
							ADIPOR2		
							WNT5B		
							C12orf32		
							NRIP2		
							CCDC77		
							EFCAB4B		
							CACNA2D4		
							FBXL14		
							DCP1B		
							B4GALNT3		
							HSN2		
							IQSEC3		
							LRTM2		
