cytoband	9p21.3	1p36.31	10q23.31	13q14.2	19q13.41	2q37.1	4q35.2	11p15.4	12p13.2	17q11.2	3q28	14q24.3	10q26.13	15q15.1	6q24.3	15q21.2	22q13.32	1q43	3p26.3	3p14.1	
q value	4.3375e-88	1.3419e-07	1.9215e-07	0.00080378	0.023728	0.036044	0.048449	0.048449	0.049404	0.050858	0.057705	0.061579	0.02016	0.053934	0.17773	0.048449	0.23539	0.24496	0.15536	0.24121	
residual q value	4.3375e-88	1.3286e-07	5.9805e-07	0.00080378	0.023846	0.036931	0.048449	0.048449	0.048449	0.050858	0.056989	0.060191	0.086228	0.14897	0.17773	0.21648	0.22835	0.24496	0.24496	0.24496	
wide peak boundaries	chr9:21456646-21971582	chr1:3596480-6442113	chr10:89104579-89705918	chr13:46370992-47693644	chr19:47046785-63811651	chr2:232571445-243615958	chr4:178403493-191731959	chr11:1-12290873	chr12:10090625-14551760	chr17:27752826-38633208	chr3:191668437-194295640	chr14:55107741-86424597	chr10:112438743-135037215	chr15:23195480-48992183	chr6:108136921-170914576	chr15:48903003-57116954	chr22:39207428-49396972	chr1:217471164-246127941	chr3:1-2910082	chr3:3132230-151460161	
genes in wide peak	CDKN2A	ZBTB48	PTEN	RCBTB2	A1BG	AGXT	AGA	ADM	CDKN1B	ACACA	FGF12	ACTN1	ACADSB	ACTC1	ACAT2	ADAM10	ACR	ACTA1	CHL1	ACAA1	
	MTAP	RPL22	ATAD1	MLNR	AP2A1	ALPI	SLC25A4	AP2A2	CREBL2	ACCN1	C3orf59	ACYP1	ADAM8	APBA2	AMD1	AQP9	ACO2	ACTN2	CNTN6	ACPP	
	IFNE1	KCNAB2		RB1	APOC1	ALPP	CASP3	AMPD3	EMP1	AP2B1	CCDC50	ARG2	ADRA2A	B2M	ARG1	CYP19A1	ARSA	PARP1		ACVR2B	
		TNFRSF25		ITM2B	APOC2	ALPPL2	DCTD	APBB1	ETV6	BLMH	UTS2D	ZFP36L1	ADRB1	BUB1B	CCR6	ONECUT1	BIK	ADSS		ACY1	
		KLHL21		P2RY5	APOC4	KIF1A	F11	RHOG	GPR19	CACNB1	OSTN	ENTPD5	BNIP3	CAPN3	COL10A1	LIPC	TSPO	AGT		ADCY5	
		ACOT7		FNDC3A	APOE	BOK	ACSL1	ART1	GRIN2B	CPD		DIO2	CASP7	CHRM5	CTGF	MYO5A	MPPED1	ARF1		ADPRH	
		ICMT		MED4	KLK3	CHRND	FAT	ASCL2	KLRC1	CSF3		DLST	CTBP2	CHRNA7	EPB41L2	NEDD4	CHKB	CAPN2		AGTR1	
		CHD5		NUDT15	ATP1A3	CHRNG	FRG1	CARS	KLRC2	ERBB2		EIF2S1	CYP2E1	CKMT1B	EYA4	MAPK6	CPT1B	CHML		ALAS1	
		HES2		CYSLTR2	BAX	COL6A3	ING2	CCKBR	KLRC3	EVI2A		ERH	DOCK1	DUT	ESR1	RAB27A	CYP2D6	LYST		ALCAM	
		AJAP1		CDADC1	BCAT2	DTYMK	IRF2	CD81	KLRD1	EVI2B		ESR2	ECHS1	EPB42	FABP7	TCF12	CYB5R3	CHRM3		AMT	
		PLEKHG5		C1orf186	BCL3	GBX2	KLKB1	CD151	LRP6	GRB7		ESRRB	EMX2	FBN1	FOXO3A	ALDH1A2	ECGF1	EPHX1		APEH	
		NOL9			CEACAM1	GPC1	MTNR1A	CDKN1C	OLR1	LASP1		FNTB	FGFR2	FGF7	FRK	CCPG1	EP300	FH		ARF4	
		TAS1R1			C5AR1	GPR35	TLR3	TPP1	PRB1	LHX1		FOS	GFRA1	GABPB2	FUCA2	PIGB	FBLN1	GALNT2		RHOA	
		ESPN			CA11	HDLBP	SORBS2	CNGA4	PRB3	LIG3		FUT8	PRLHR	GABRA5	FYN	BCL2L10	XRCC6	GNG4		ATP1B3	
		THAP3			CALM3	INPP5D	DUX4	CTSD	PRB4	MLLT6		GPX2	GPR26	GABRB3	GJA1	GNB5	MCHR1	GUK1		ATP2B2	
		PHF13			CD33	KCNJ13	DKFZP564J102	DRD4	PRH1	MYO1D		GSTZ1	GRK5	GABRG3	GPR6	ARPP-19	NAGA	H3F3A		ATP6V1A	
		C1orf188			SIGLEC6	NDUFA10	PDLIM3	DUSP8	PRH2	NEUROD2		GTF2A1	HABP2	GALK2	GPR31	DMXL2	NDUFA6	HLX1		ATR	
		NPHP4			CD37	SEPT2	NEIL3	EIF4G2	KLRC4	NF1		HIF1A	HMX2	GANC	GRM1	AP4E1	NHP2L1	HNRPU		FOXL2	
		GPR153			CD79A	NEU2	C4orf20	HBB	CSDA	OMG		HSPA2	INPP5A	GATM	HDAC2	PYGO1	PMM1	ITPKB		BTD	
		RNF207			CGB	NPPC	CDKN2AIP	HBD	GPRC5A	PEX12		LTBP2	ABLIM1	GCHFR	HIVEP2	SCG3	PPARA	KCNK1		CACNA1D	
		HES3			CEACAM8	PDE6D	LRP2BP	HBE1	KLRA1	PNMT		MAX	MGMT	PDIA3	HSF2	TMOD3	MAPK11	LBR		SLC25A20	
					CKM	PPP1R7	TUBB4Q	HBG1	PRR4	PPARBP		MAP3K9	MKI67	HDC	IFNGR1	TMOD2	RANGAP1	LGALS8		CAMP	
					AP2S1	PTMA	STOX2	HBG2	KLRK1	PSMB3		ALDH6A1	NRAP	ITPKA	IGF2R	C15orf15	MAPK12	MARK1		CASR	
					CLPTM1	SAG	FLJ12716	HPX	GABARAPL1	PSMD3		MNAT1	OAT	IVD	KIF25	FAM63B	SBF1	MTR		CAV3	
					CRX	SPP2	MLF1IP	HRAS	TAS2R9	PSMD11		MTHFD1	PNLIP	LTK	KPNA5	RNF111	SREBF2	NID1		CBLB	
					DBP	DGKD	WWC2	IGF2	TAS2R8	RAD51L3		SIX6	PNLIPRP1	MAP1A	LAMA2	SUHW4	ST13	NVL		CCK	
